character,pinyin,type,meaning,chapter,back_card
法律,fa3lu4,n,law,1,fa3lu4 n law 1
缺点,que1dian3,n,shortcoming,1,que1dian3 n shortcoming 1
接受,jie1shou4,v,to accept,1,jie1shou4 v to accept 1
羡慕,xian4mu4,v,"to envy, to admire",1,"xian4mu4 v to envy, to admire 1"
爱情,ai4qing2,n,love,1,ai4qing2 n love 1
星星,xing1xing,n,star,1,xing1xing n star 1
加班,jia1ban1,v,to work overtime,1,jia1ban1 v to work overtime 1
够,gou4,v,to be enough,1,gou4 v to be enough 1
亮,liang4,v,"to shine, to be lit",1,"liang4 v to shine, to be lit 1"
自然,zi4ran2,adv,"naturally, certainly",1,"zi4ran2 adv naturally, certainly 1"
原因,yuan2yin1 ,n,reason,1,yuan2yin1  n reason 1
互相,hu4xiang1,adv,mutually,1,hu4xiang1 adv mutually 1
吸引,xi1yin3,v,attract,1,xi1yin3 v attract 1
幽默,you1mo4,adj,humourous,1,you1mo4 adj humourous 1
脾气,pi2qi,n,"temper, disposition",1,"pi2qi n temper, disposition 1"
感动,gan3dong4,v,"to touch, to move",1,"gan3dong4 v to touch, to move 1"
浪漫,lang4man4,adj,romantic,1,lang4man4 adj romantic 1
即使,ji2shi3,conj,even if,1,ji2shi3 conj even if 1
生活,sheng1huo2,n.v,"life, to live",1,"sheng1huo2 n.v life, to live 1"
刚,gang1,adv,"just, not long",1,"gang1 adv just, not long 1"
印象,yin4xiang4,n,impression,1,yin4xiang4 n impression 1
深,shen1,adj,deep,1,shen1 adj deep 1
熟悉,shu2xi,v,to be familiar with,1,shu2xi v to be familiar with 1
不仅,bu4jin3,conj,not only,1,bu4jin3 conj not only 1
性格,xin4ge2,n,"character, personality",1,"xin4ge2 n character, personality 1"
李进,li3jin4,n,name of a person,1,li3jin4 n name of a person 1
孙月,sun1yue4,n,name of a person,1,sun1yue4 n name of a person 1
俩,lia3,num,"two, both",1,"lia3 num two, both 1"
开玩笑,kai1wan2xiao4,exp,to be kidding,1,kai1wan2xiao4 exp to be kidding 1
从来,cong2lai2,adv,"always, all along",1,"cong2lai2 adv always, all along 1"
最好,zui4hao3,adv,had better,1,zui4hao3 adv had better 1
共同,gong4tong2,adj,"common, shared",1,"gong4tong2 adj common, shared 1"
适合,shi4he2,v,"to suit, to fit",1,"shi4he2 v to suit, to fit 1"
幸福,xing4fu2,adj,happy,1,xing4fu2 adj happy 1
王静,wang2jing4,n,name of a person,1,wang2jing4 n name of a person 1
友谊,you3yi4,n,friendship,2,you3yi4 n friendship 2
丰富,feng1fu4,v,to enrich,2,feng1fu4 v to enrich 2
无聊,wu2liao2,adj,boring,2,wu2liao2 adj boring 2
讨厌,tao3yan2,v,to dislike,2,tao3yan2 v to dislike 2
却,que3,adv,"but, yet",2,"que3 adv but, yet 2"
周围,zhou1wei2,n,surrounding,2,zhou1wei2 n surrounding 2
交流,jiao1liu2,v,to exchange,2,jiao1liu2 v to exchange 2
当,dang1,prep,"when, just at (a time or place)",2,"dang1 prep when, just at (a time or place) 2"
镜子,jing4zi,n,mirror,2,jing4zi n mirror 2
而,er2,conj,"while, yet",2,"er2 conj while, yet 2"
困难,kun4nan,n,difficulty,2,kun4nan n difficulty 2
及时,ji2shi2,adv,in time,2,ji2shi2 adv in time 2
陪,pei2,v,to accompany,2,pei2 v to accompany 2
适应,shi4yin4,v,to get used to,2,shi4yin4 v to get used to 2
理解,li3jie3,v,to understand,2,li3jie3 v to understand 2
真正,zhen1zheng4,adj,"true, real",2,"zhen1zheng4 adj true, real 2"
聚会,ju4hui4,n.v,to have a party,2,ju4hui4 n.v to have a party 2
重新,chong2xin1,adv,"again, once",2,"chong2xin1 adv again, once 2"
尽管,jing3guan3,conj,although,2,jing3guan3 conj although 2
平时,ping2shi2,n,normal times,2,ping2shi2 n normal times 2
逛,guang4,v,to stroll,2,guang4 v to stroll 2
短信,duan3xin4,n,text message,2,duan3xin4 n text message 2
正好,zheng4hao3,adv,just right,2,zheng4hao3 adv just right 2
马克,ma3ke4,n,Mark (first name),2,ma3ke4 n Mark (first name) 2
联系,lian2xi4,v,to contact,2,lian2xi4 v to contact 2
交,jiao1,v,to make (friends),2,jiao1 v to make (friends) 2
专门,zhuan1men2,adv,specially,2,zhuan1men2 adv specially 2
毕业,bi4ye4,v,to graduate,2,bi4ye4 v to graduate 2
麻烦,ma2fan,v,to bother,2,ma2fan v to bother 2
林,lin2,n,Lin (family name),2,lin2 n Lin (family name) 2
张远,zhang1yuan3,n,Name,2,zhang1yuan3 n Name 2
好像,hao3xiang4,adv,as if,2,hao3xiang4 adv as if 2
差不多,cha4buduo1,adv,almost,2,cha4buduo1 adv almost 2
安排,an1pai2,v,to arrange,3,an1pai2 v to arrange 3
首先,shou3xian1,adv,"first, first of all",3,"shou3xian1 adv first, first of all 3"
正式,zheng4shi4,adj,formal,3,zheng4shi4 adj formal 3
留,liu2,v,to leave,3,liu2 v to leave 3
其次,qi2ci4,adv,"second, next",3,"qi2ci4 adv second, next 3"
诚实,cheng2shi2,adj,honest,3,cheng2shi2 adj honest 3
改变,gai3bian4,v,to change,3,gai3bian4 v to change 3
准时,zhun3shi2,adj,"punctual, on time",3,"zhun3shi2 adj punctual, on time 3"
判断,pan4duan4,v,"to judge, to decide",3,"pan4duan4 v to judge, to decide 3"
顾客,gu4ke4,n,"customer, client",3,"gu4ke4 n customer, client 3"
不管,bu4guan3,conj,"no matter (how, what, etc)",3,"bu4guan3 conj no matter (how, what, etc) 3"
与,yu3,prep,with,3,yu3 prep with 3
约会,yue1hui4,v,"to date, to go to an appointment",3,"yue1hui4 v to date, to go to an appointment 3"
感觉,gan3jue2,n,feeling,3,gan3jue2 n feeling 3
咱们,zan2men4,pron,"we, us",3,"zan2men4 pron we, us 3"
律师,lü4shi1,n,lawyer,3,lü4shi1 n lawyer 3
另外,ling4wai4,conj,"besides, in addition",3,"ling4wai4 conj besides, in addition 3"
收入,shou1ru4,n,"income, salary",3,"shou1ru4 n income, salary 3"
信心,xin4xin1,n,confidence,3,xin4xin1 n confidence 3
能力,neng2li4,n,"ability, competence",3,"neng2li4 n ability, competence 3"
招聘,zhao1pin4,v,to recruit,3,zhao1pin4 v to recruit 3
提供,ti2gong1,v,to provide,3,ti2gong1 v to provide 3
面试,mian4shi4,n,interview,3,mian4shi4 n interview 3
负责,fu4ze2,v,to be in charge of,3,fu4ze2 v to be in charge of 3
紧张,jin3zhang1,adj,nervous,3,jin3zhang1 adj nervous 3
应聘,ying4pin4,v,to apply for a job,3,ying4pin4 v to apply for a job 3
材料,cai2liao4,n,"data, material",3,"cai2liao4 n data, material 3"
符合,fu2he2,v,to accord with,3,fu2he2 v to accord with 3
通知,tong1zhi1,v,to inform,3,tong1zhi1 v to inform 3
挺,ting3,adv,"quite, rather",3,"ting3 adv quite, rather 3"
本来,ben3lai2,adv,"originally, at first",3,"ben3lai2 adv originally, at first 3"
专业,zhuan1ye4,n,"major, specialty",3,"zhuan1ye4 n major, specialty 3"
按照,an4zhao4,prep,according to,4,an4zhao4 prep according to 4
成功,cheng2gong1,adj,successful,4,cheng2gong1 adj successful 4
顺利,shun4li4,adj,smooth,4,shun4li4 adj smooth 4
感谢,gan3xie4,v,to thank,4,gan3xie4 v to thank 4
消息,xiao1xi,n,"news, new information",4,"xiao1xi n news, new information 4"
方法,fang1fa3,n,"method, way",4,"fang1fa3 n method, way 4"
工资,gong1zi1,n,"pay, salary",4,"gong1zi1 n pay, salary 4"
知识,zhi1shi,n,knowledge,4,zhi1shi n knowledge 4
不得不,bu4de2bu4,exp,"to have to, to have no choice but",4,"bu4de2bu4 exp to have to, to have no choice but 4"
甚至,shen4zhi4,conj,"even, so far as to",4,"shen4zhi4 conj even, so far as to 4"
责任,ze2ren4,n,"responsibility, duty",4,"ze2ren4 n responsibility, duty 4"
一切,yi2qie4,num,"all, every",4,"yi2qie4 num all, every 4"
奖金,jiang3jin1,n,"money award, bonus",4,"jiang3jin1 n money award, bonus 4"
经验,jing1yan4,n,experience,4,jing1yan4 n experience 4
按时,an4shi4,adj,"on time, on schedule",4,"an4shi4 adj on time, on schedule 4"
并,bing4,adv,used before a negative for emphasis,4,bing4 adv used before a negative for emphasis 4
积累,ji1lei2,v,to accumulate,4,ji1lei2 v to accumulate 4
以为,yi3wei2,v,"to think, to believe",4,"yi3wei2 v to think, to believe 4"
份,fen4,m,particle for jobs 份工作,4,fen4 m particle for jobs 份工作 4
完全,wan2quan2,adv,completely,4,wan2quan2 adv completely 4
赚,zhuan4,v,to earn,4,zhuan4 v to earn 4
调查,diao4cha2,v,"to survey, to investigate",4,"diao4cha2 v to survey, to investigate 4"
原来,yuan2lai2,adj,original,4,yuan2lai2 adj original 4
提,ti2,v,to mention,4,ti2 v to mention 4
提前,ti2qian2,v,to do smth. In advance or ahead of time,4,ti2qian2 v to do smth. In advance or ahead of time 4
保证,bao3zheng4,v,to guarantee,4,bao3zheng4 v to guarantee 4
提醒,ti2xing3,v,to remind,4,ti2xing3 v to remind 4
乱,luan4,adj,"confused, messy",4,"luan4 adj confused, messy 4"
生意,sheng1yi4,n,"business, trade",4,"sheng1yi4 n business, trade 4"
谈,tan2,v,"to talk, to discuss",4,"tan2 v to talk, to discuss 4"
计划,ji4hua4,n.v,"plan, intend to do",4,"ji4hua4 n.v plan, intend to do 4"
广告,guang3gao4,n,advertisement,5,guang3gao4 n advertisement 5
味道,wei4dao4,n,taste,5,wei4dao4 n taste 5
优点,you1dian3,n,merit,5,you1dian3 n merit 5
实际,shi2ji4,n,reality,5,shi2ji4 n reality 5
考虑,kao3lv4,v,to consider,5,kao3lv4 v to consider 5
年龄,nian2ling2,n,age,5,nian2ling2 n age 5
样子,yang4zi,n,"look, appearance",5,"yang4zi n look, appearance 5"
浪费,lang4fei4,v,to waste,5,lang4fei4 v to waste 5
购物,gou4wu4,v,"to shop, to buy things",5,"gou4wu4 v to shop, to buy things 5"
尤其,you2qi2,adv,especially,5,you2qi2 adv especially 5
受到,shou4dao4,v,to receive,5,shou4dao4 v to receive 5
艺术,yi2shu4,n,art,5,yi2shu4 n art 5
标准,biao1zhun3,n,standard,5,biao1zhun3 n standard 5
葡萄,pu2tao,n,grape,5,pu2tao n grape 5
台,tai2,m,unit for machines 一台冰箱,5,tai2 m unit for machines 一台冰箱 5
任何,ren4he2,num,"any, whatever",5,"ren4he2 num any, whatever 5"
现金,xian4jin1,n,cash,5,xian4jin1 n cash 5
效果,xiao4guo3,n,effect,5,xiao4guo3 n effect 5
制冷,zhi4leng3,v,to refrigerate,5,zhi4leng3 v to refrigerate 5
实在,shi2zai4,adv,really,5,shi2zai4 adv really 5
光,guang1,adv,"only, merely",5,"guang1 adv only, merely 5"
顺便,shun4bian4,adv,in passing,5,shun4bian4 adv in passing 5
流行,liu2xing2,v,to be popular,5,liu2xing2 v to be popular 5
肯定,ken3ding4,adv,"surely, certainly",5,"ken3ding4 adv surely, certainly 5"
质量,zhi4liang4,n,quality,5,zhi4liang4 n quality 5
价格,jia4ge2,n,price,5,jia4ge2 n price 5
打折,da3zhe2,v,"to give a discount, sales",5,"da3zhe2 v to give a discount, sales 5"
沙发,sha1fa1,n,sofa,5,sha1fa1 n sofa 5
家具,jia1ju4,n,furniture,5,jia1ju4 n furniture 5
邀请,yao1qing3,v,to invite,5,yao1qing3 v to invite 5
寄,ji4,v,"to mail, to send",5,"ji4 v to mail, to send 5"
值得,zhi2de2,v,to be worth,6,zhi2de2 v to be worth 6
售货员,shou4huo4yuan2,n,salesperson,6,shou4huo4yuan2 n salesperson 6
服务,fu3wu4,n,"service, customer service",6,"fu3wu4 n service, customer service 6"
支持,zhi1chi2,v,to support,6,zhi1chi2 v to support 6
举行,ju3xing2,v,"to hold (a meeting, event, etc)",6,"ju3xing2 v to hold (a meeting, event, etc) 6"
满,man3,v,to reach a quota or limit,6,man3 v to reach a quota or limit 6
其中,qi2zhong1,n,"among (which, them, etc)",6,"qi2zhong1 n among (which, them, etc) 6"
会员卡,hui4yuan2ka3,n,membership card,6,hui4yuan2ka3 n membership card 6
修理,xiu1li3,v,"to repair, to mend",6,"xiu1li3 v to repair, to mend 6"
所有,suo3you3,adj,all,6,suo3you3 adj all 6
情况,qing2kuang4,n,"situation, circumstances",6,"qing2kuang4 n situation, circumstances 6"
例如,li4ru2,v,for example,6,li4ru2 v for example 6
举办,ju3ban4,v,"to hold, to conduct",6,"ju3ban4 v to hold, to conduct 6"
各,ge4,pron,"various, different",6,"ge4 pron various, different 6"
降低,jiang4di1,v,"to lower, to reduce",6,"jiang4di1 v to lower, to reduce 6"
果汁,guo3zhi1,n,fruit juice,6,guo3zhi1 n fruit juice 6
获得,huo4de2,v,"to get, to obtain",6,"huo4de2 v to get, to obtain 6"
免费,mian3fei4,v,"to be free of charge, free",6,"mian3fei4 v to be free of charge, free 6"
小说,xiao3shuo1,n,"novel, fiction",6,"xiao3shuo1 n novel, fiction 6"
活动,huo2dong4,n,"activity, event",6,"huo2dong4 n activity, event 6"
袜子,wa4zi,n,socks,6,wa4zi n socks 6
内,nei4,n,"in, within",6,"nei4 n in, within 6"
打扰,da3rao3,v,"to disturb, to bother",6,"da3rao3 v to disturb, to bother 6"
竟然,jing4ran2,adv,indicating unexpectedness,6,jing4ran2 adv indicating unexpectedness 6
裤子,ku4zi,n,"pants, trousers",6,"ku4zi n pants, trousers 6"
衬衫,chen4shan1,n,shirt,6,chen4shan1 n shirt 6
百分之,bai3fen1zhi1,n,percent,6,bai3fen1zhi1 n percent 6
西红柿,xi1hong2shi4,n,tomato,6,xi1hong2shi4 n tomato 6
皮肤,piéfu1,n,skin,6,piéfu1 n skin 6
好处,hao3chu4,n,"benefit, advantange",6,"hao3chu4 n benefit, advantange 6"
尝,chang2,v,to taste,6,chang2 v to taste 6
一分钱一分货,yi4fen1qian2yi4fen1huo4,exp,"the higher the price, the better the quality",6,"yi4fen1qian2yi4fen1huo4 exp the higher the price, the better the quality 6"
轻,qing1,adj,"light, of little weight",6,"qing1 adj light, of little weight 6"
方面,fang1mian4,n,aspect,6,fang1mian4 n aspect 6
倍,bei4,m,"times, fold 两倍",6,"bei4 m times, fold 两倍 6"
数字,shu4zi4,n,number,7,shu4zi4 n number 7
散步,san4bu4,v,to take a walk,7,san4bu4 v to take a walk 7
指,zhi3,v,to refer to,7,zhi3 v to refer to 7
精神,jing1shen2,n,"spirit, mind",7,"jing1shen2 n spirit, mind 7"
教授,jiao4shou4,n,professor,7,jiao4shou4 n professor 7
说明,shuo1ming4,v,"to explain, to show",7,"shuo1ming4 v to explain, to show 7"
掉,diao4,v,"used after certain verbs, indicating the result of an action",7,"diao4 v used after certain verbs, indicating the result of an action 7"
既,ji4,adv,"used together with 又, both…and…",7,"ji4 adv used together with 又, both…and… 7"
减肥,jian3fei2,v,to lose weight,7,jian3fei2 v to lose weight 7
辛苦,xin1ku3,adj,"hard, toilsome",7,"xin1ku3 adj hard, toilsome 7"
感情,gan3qing2,n,"affection, love",7,"gan3qing2 n affection, love 7"
烦恼,fan2nao3,adj,"worried, vexed",7,"fan2nao3 adj worried, vexed 7"
超过,chao1guo4,v,"to exceed, to surpass",7,"chao1guo4 v to exceed, to surpass 7"
要是,yao4shi,conj,"if, supposing",7,"yao4shi conj if, supposing 7"
研究,yan2jiu1,v,"to study, to do research",7,"yan2jiu1 v to study, to do research 7"
肚子,du4zi,n,"belly, stomach",7,"du4zi n belly, stomach 7"
大夫,dai4fu,n,doctor,7,dai4fu n doctor 7
植物,zhi4wu4,n,plant,7,zhi4wu4 n plant 7
流血,liu2xue3,v,to bleed,7,liu2xue3 v to bleed 7
气候,qi4hou4,n,climate,7,qi4hou4 n climate 7
估计,gu1ji4,v,to estimate,7,gu1ji4 v to estimate 7
咳嗽,ke2sou,v,to cough,7,ke2sou v to cough 7
严重,yan2zhong4,adj,"serious, gravee",7,"yan2zhong4 adj serious, gravee 7"
窗户,chuang1hu,n,window,7,chuang1hu n window 7
擦,ca1,v,to wipe,7,ca1 v to wipe 7
抽烟,chou1yan1,v,to smoke,7,chou1yan1 v to smoke 7
动作,dong4zuo4,n,"action, movement",7,"dong4zuo4 n action, movement 7"
帅,shuai4,adj,handsome,7,shuai4 adj handsome 7
出现,chu1xian4,v,"to appear, to emerge",7,"chu1xian4 v to appear, to emerge 7"
后悔,hou4hui3,v,to regret,7,hou4hui3 v to regret 7
来不及,lai2buji2,v,"to not have enough time, to be too late to",7,"lai2buji2 v to not have enough time, to be too late to 7"
空气,kong1qi4,n,air,7,kong1qi4 n air 7
反对,fan3dui4,v,"to oppose, to object to",7,"fan3dui4 v to oppose, to object to 7"
耐心,nai4xin1,n,patience,8,nai4xin1 n patience 8
生命,sheng1ming4,n,life,8,sheng1ming4 n life 8
缺少,que1shao3,v,to lack,8,que1shao3 v to lack 8
到处,dao4chu4,adv,everywhere,8,dao4chu4 adv everywhere 8
因此,yin1ci3,conj,"therefore, so",8,"yin1ci3 conj therefore, so 8"
往往,wang3wang3,adv,"often, usually",8,"wang3wang3 adv often, usually 8"
证明,zheng4ming2,v,to prove,8,zheng4ming2 v to prove 8
阳光,yang2guang1,adj,"optimistic, cheerful",8,"yang2guang1 adj optimistic, cheerful 8"
积极,ji1ji2,adj,positive,8,ji1ji2 adj positive 8
特点,te4dian3,n,characteristic,8,te4dian3 n characteristic 8
距离,ju4li2,n,distance,8,ju4li2 n distance 8
科学,ke1xue2,n,science,8,ke1xue2 n science 8
堵车,du3che1,v,traffic jam,8,du3che1 v traffic jam 8
态度,tai4du4,n,attitude,8,tai4du4 n attitude 8
师傅,shi1fu,n,a polite title for one with accomplished skills in a trade or handicraft,8,shi1fu n a polite title for one with accomplished skills in a trade or handicraft 8
巧克力,qiao3ke4li4,n,chocolate,8,qiao3ke4li4 n chocolate 8
亲戚,qin1qi,n,"relative, kinfolk",8,"qin1qi n relative, kinfolk 8"
伤心,shang1xin1,adj,"sad, sorrowful",8,"shang1xin1 adj sad, sorrowful 8"
使,shi3,v,"to make, to cause",8,"shi3 v to make, to cause 8"
大使馆,da1shi3guan3,n,embasse,8,da1shi3guan3 n embasse 8
愉快,yu2kuai4,adj,"glad, cheerful",8,"yu2kuai4 adj glad, cheerful 8"
心情,xin1qing2,n,"mood, state of mind",8,"xin1qing2 n mood, state of mind 8"
放松,fang4song1,v,to relax,8,fang4song1 v to relax 8
压力,ya1li4,n,"pressure, stress",8,"ya1li4 n pressure, stress 8"
回忆,hui2yi4,v,"to remind, to call to mind",8,"hui2yi4 v to remind, to call to mind 8"
发生,fa1sheng1,v,"to happen, to take place",8,"fa1sheng1 v to happen, to take place 8"
成为,cheng2wei2,v,to become,8,cheng2wei2 v to become 8
只要,zhi4yao4,conj,as long as provided,8,zhi4yao4 conj as long as provided 8
景色,jing3se4,n,"scene, view",8,"jing3se4 n scene, view 8"
正确,zheng4que4,adj,"adj. right, correct",9,"zheng4que4 adj adj. right, correct 9"
理想,li3xiang3,n,n. ideal,9,li3xiang3 n n. ideal 9
勇敢,yong3gan3,adj,"adj. brave, courageous",9,"yong3gan3 adj adj. brave, courageous 9"
结果,jie2guo3,n,n. result,9,jie2guo3 n n. result 9
失败,shi1bai4,v,v. to fail,9,shi1bai4 v v. to fail 9
区别,qu4bie2,n,"n. difference, distinction",9,"qu4bie2 n n. difference, distinction 9"
至少,zhi4shao3,adv,adv. At least,9,zhi4shao3 adv adv. At least 9
总结,zong3jie2,n,v. to sum up,9,zong3jie2 n v. to sum up 9
取,qu3,v,"v. to gain, to seek",9,"qu3 v v. to gain, to seek 9"
经历,jing1li4,v,"v. to go through, to experience",9,"jing1li4 v v. to go through, to experience 9"
许多,xu3duo1,num,"num. many, plenty of",9,"xu3duo1 num num. many, plenty of 9"
可是,ke3shi4,conj,"cong. But, however",9,"ke3shi4 conj cong. But, however 9"
过程,guo4cheng2,n,"n. course, process",9,"guo4cheng2 n n. course, process 9"
当时,dang1shi2,n,"n. then, at the time",9,"dang1shi2 n n. then, at the time 9"
轻松,qing1song2,adj,"adj. relaxed, effortless",9,"qing1song2 adj adj. relaxed, effortless 9"
篇,pian1,m,"m. used for writings, papers or articles",9,"pian1 m m. used for writings, papers or articles 9"
通过,tong1guo4,prep,"prep. Through, by means of",9,"tong1guo4 prep prep. Through, by means of 9"
汗,han4,n,n. sweat,9,han4 n n. sweat 9
随便,sui2bian4,adj,"adj. casual, at random",9,"sui2bian4 adj adj. casual, at random 9"
赢,yin2,v,v. to win,9,yin2 v v. to win 9
国际,guo2ji4,n,n. international,9,guo2ji4 n n. international 9
网球,wang3qiu2,n,n. tennis,9,wang3qiu2 n n. tennis 9
注意,zhu3yi,n,"n. idea, plan",9,"zhu3yi n n. idea, plan 9"
放弃,fang4qi4,v,v. to give up,9,fang4qi4 v v. to give up 9
坚持,jian1chi2,v,"to insist, to persist, to persevere",9,"jian1chi2 v to insist, to persist, to persevere 9"
得,dei3,mod,"mod. must, have to",9,"dei3 mod mod. must, have to 9"
难道,nan2dao4,adv,adv. Used in a rhetorical question for emphasis,9,nan2dao4 adv adv. Used in a rhetorical question for emphasis 9
饼干,bing3gan1,n,n. biscuit,9,bing3gan1 n n. biscuit 9
作家,zuo4jia1,n,n. writer,9,zuo4jia1 n n. writer 9
暂时,zan4shi2,n,"n. temporary, for the time being",9,"zan4shi2 n n. temporary, for the time being 9"
面对,mian4dui4,v,"v. to face, to confront",9,"mian4dui4 v v. to face, to confront 9"
富,fu4,adj," rich, wealthy",10,"fu4 adj  rich, wealthy 10"
答案,da2an4,n," answer, key",10,"da2an4 n  answer, key 10"
低,di1,adj, low,10,di1 adj  low 10
糖,tang2,n," sugar, candy",10,"tang2 n  sugar, candy 10"
橡皮,xiang4pi2,n," eraser, rubber",10,"xiang4pi2 n  eraser, rubber 10"
比如,bi3ru2,v," for example, such as",10,"bi3ru2 v  for example, such as 10"
由于,you2yu2,conj," Because, since",10,"you2yu2 conj  Because, since 10"
等,deng3,part, Etc,10,deng3 part  Etc 10
穷,qiong2,adj," poor, impoverished",10,"qiong2 adj  poor, impoverished 10"
条件,tiao2jian4,n, condition,10,tiao2jian4 n  condition 10
经济,jing1ji4,n, economy,10,jing1ji4 n  economy 10
困,kun4,adj, sleepy,10,kun4 adj  sleepy 10
躺,tang3,v, to lie （one's back) ,10,tang3 v  to lie （one's back)  10
将来,jiang1lai2,n, future,10,jiang1lai2 n  future 10
关键,guan1jian4,n," hinge, crux",10,"guan1jian4 n  hinge, crux 10"
发展,fa1zhan3,v," to develop, to promote",10,"fa1zhan3 v  to develop, to promote 10"
建议,jian4yi4,n," suggestion, advice",10,"jian4yi4 n  suggestion, advice 10"
礼拜天,li3bai4tian1,n, Sunday,10,li3bai4tian1 n  Sunday 10
空儿,kong4 r,n," free time, space time",10,"kong4 r n  free time, space time 10"
母亲,mu3qin1,n, mother,10,mu3qin1 n  mother 10
不过,bu2guo4,conj," But, yet",10,"bu2guo4 conj  But, yet 10"
永远,yong3yuang3,adv, Forever,10,yong3yuang3 adv  Forever 10
职业,zhi2ye4,n," occupation, profession",10,"zhi2ye4 n  occupation, profession 10"
优秀,you1xiu4,adj," excellent, outstanding",10,"you1xiu4 adj  excellent, outstanding 10"
方向,fang1xiang4,n," direction, orientation",10,"fang1xiang4 n  direction, orientation 10"
翻译,fan1yi4,n," translater, interpreter",10,"fan1yi4 n  translater, interpreter 10"
确实,que4shi2,adv," Truly, indeed",10,"que4shi2 adv  Truly, indeed 10"
兴奋,xing1fen4,adj, excited,10,xing1fen4 adj  excited 10
拉,la1,v," to pull, to drag",10,"la1 v  to pull, to drag 10"
硕士,shuo4shi4,n," Master, person who has a master's degree",10,"shuo4shi4 n  Master, person who has a master's degree 10"
增加,zeng1jia1,v," to increase, to add",11,"zeng1jia1 v  to increase, to add 11"
然而,ran2er2,conj," But, however",11,"ran2er2 conj  But, however 11"
文章,wen2zhang1,n," essay, article",11,"wen2zhang1 n  essay, article 11"
之,zhi1,part, Connecting the modifier and the word modified,11,zhi1 part  Connecting the modifier and the word modified 11
内容,nei4rong2,n, content,11,nei4rong2 n  content 11
看法,kan4fa3,n," viewpoint, opinion",11,"kan4fa3 n  viewpoint, opinion 11"
杂志,za2zhi4,n, magazine,11,za2zhi4 n  magazine 11
顺序,shun4xu4,n," order, sequence",11,"shun4xu4 n  order, sequence 11"
表示,biao3shi4,v," to express, to indicate",11,"biao3shi4 v  to express, to indicate 11"
养成,yang3cheng2,v," to develop, to form",11,"yang3cheng2 v  to develop, to form 11"
