character,pinyin,type,meaning,chapter,back_card
同时,tong2shi2,conj," At the same time, meanwhile",11,"tong2shi2 conj  At the same time, meanwhile 11"
精彩,jing1cai3,adj," wonderful, splendid",11,"jing1cai3 adj  wonderful, splendid 11"
页,ye4,m, page,11,ye4 m  page 11
相同,xiang1tong2,adj, same,11,xiang1tong2 adj  same 11
著名,zhu4ming2,adj," famous, well-known",11,"zhu4ming2 adj  famous, well-known 11"
阅读,yue3du2,v, to read,11,yue3du2 v  to read 11
流利,liu2li,adj, fluent,11,liu2li adj  fluent 11
无论,wu2lun4,conj," Regardless of, no matter (what, how, when, etc)",11,"wu2lun4 conj  Regardless of, no matter (what, how, when, etc) 11"
厉害,li4hai,adj," awesome, serious",11,"li4hai adj  awesome, serious 11"
语法,yu3fa3,n, grammar,11,yu3fa3 n  grammar 11
准确,zhun3que4,adj," accurate, precise",11,"zhun3que4 adj  accurate, precise 11"
连,lian2,prep, Even,11,lian2 prep  Even 11
来得及,lai2deji2,v, there's still time (to do smth),11,lai2deji2 v  there's still time (to do smth) 11
词语,ci2yu2,n," word, expression",11,"ci2yu2 n  word, expression 11"
只好,zhi3hao3,adv," Cannot but, to be forced to",11,"zhi3hao3 adv  Cannot but, to be forced to 11"
填空,tian2kong4,v, to fill in a blank,11,tian2kong4 v  to fill in a blank 11
猜,cai1,v, to guess,11,cai1 v  to guess 11
否则,fou3ze2,conj," Or, otherwise",11,"fou3ze2 conj  Or, otherwise 11"
客厅,kw4ting1,n, living room,11,kw4ting1 n  living room 11
复杂,fu4za2,adj, complicated,11,fu4za2 adj  complicated 11
叶子,ye4zi,n, leaf,12,ye4zi n  leaf 12
无法,wu2fa3,v," to cannot, to be unable (to do smth)",12,"wu2fa3 v  to cannot, to be unable (to do smth) 12"
对于,dui4yu2,prep," For, to, with regard to",12,"dui4yu2 prep  For, to, with regard to 12"
解释,jie3shi4,v, to explain,12,jie3shi4 v  to explain 12
详细,xiang2xi4,adj, detailed,12,xiang2xi4 adj  detailed 12
节,jie2,m," section, length",12,"jie2 m  section, length 12"
作用,zuo4yong4,n, function,12,zuo4yong4 n  function 12
全部,quan2bu4,n," all, whole",12,"quan2bu4 n  all, whole 12"
勺子,shao2,n, spoon,12,shao2 n  spoon 12
盐,yan2,n, salt,12,yan2 n  salt 12
并且,bing4qie3,conj, And,12,bing4qie3 conj  And 12
商量,shang1liang,v," to discuss, to consult",12,"shang1liang v  to discuss, to consult 12"
也许,ye3xu3,adv," Maybe, perhaps",12,"ye3xu3 adv  Maybe, perhaps 12"
教育,jiao4yu4,v, to educate,12,jiao4yu4 v  to educate 12
保护,bao3hu4,v, to protect,12,bao3hu4 v  to protect 12
使用,shi3yong4,v, to use,12,shi3yong4 v  to use 12
达到,da2dao4,v," to reach, to attain",12,"da2dao4 v  to reach, to attain 12"
直接,zhi2jie1,adj," direct, straight",12,"zhi2jie1 adj  direct, straight 12"
死,si3,adj," rigid, inflexible",12,"si3 adj  rigid, inflexible 12"
规定,gui1ding4,n," rule, regulation",12,"gui1ding4 n  rule, regulation 12"
仔细,zi3xi4,adj," careful, meticulous",12,"zi3xi4 adj  careful, meticulous 12"
意见,yi4jian4,n," opinion, suggestion",12,"yi4jian4 n  opinion, suggestion 12"
语言,yu3yan2,n, language,12,yu3yan2 n  language 12
相反,xiang1fan3,conj, On the contrary,12,xiang1fan3 conj  On the contrary 12
任务,ren4wu,n," task, mission",12,"ren4wu n  task, mission 12"
节约,jie2yue1,v," to economize, to save",12,"jie2yue1 v  to economize, to save 12"
事半功倍,shi4ban4gong1bei4,to achieve twice the result with half the effort,to achieve twice the result with half the effort,12,shi4ban4gong1bei4 to achieve twice the result with half the effort to achieve twice the result with half the effort 12
友好,you3hao3,adj, friendly,12,you3hao3 adj  friendly 12
误会,wu4hui4,n, misunderstanding,12,wu4hui4 n  misunderstanding 12
引起,yin3qi3,v," to cause, to lead to",12,"yin3qi3 v  to cause, to lead to 12"
力气,li4qi,n," physical strength, effort",12,"li4qi n  physical strength, effort 12"
可惜,ke3xi1,adj," pitiful, regretful",12,"ke3xi1 adj  pitiful, regretful 12"
省,sheng3,n, province,13,sheng3 n  province 13
演员,yan3yuan2,n, actor/actress,13,yan3yuan2 n  actor/actress 13
京剧,jing1ju4,n, Beijing opera,13,jing1ju4 n  Beijing opera 13
稍微,shao1wei1,adv," A little, slightly",13,"shao1wei1 adv  A little, slightly 13"
苦,ku3,adj, bitter,13,ku3 adj  bitter 13
观众,guan1zhong4,n, audience,13,guan1zhong4 n  audience 13
厚,hou4,adj," deep, profound",13,"hou4 adj  deep, profound 13"
演出,yan3chu1,v," to perform, to put on (a show)",13,"yan3chu1 v  to perform, to put on (a show) 13"
大概,da4gai4,adv," Roughly, approximately",13,"da4gai4 adv  Roughly, approximately 13"
来自,lai2zi4,v, to be from,13,lai2zi4 v  to be from 13
遍,bian4,m," denoting an action from beginning to end, time",13,"bian4 m  denoting an action from beginning to end, time 13"
偶尔,ou3'er3,adv," Occasionally, once in a while",13,"ou3'er3 adv  Occasionally, once in a while 13"
吃惊,chi1jing1,v," to be surprised, to be shocked",13,"chi1jing1 v  to be surprised, to be shocked 13"
基础,ji1chu3,n," basis, foundation",13,"ji1chu3 n  basis, foundation 13"
表演,biao3yan3,v," to act, to perform",13,"biao3yan3 v  to act, to perform 13"
正常,zheng4chang2,adj," normal, regular",13,"zheng4chang2 adj  normal, regular 13"
申请,shen1qing3,v, to apply for,13,shen1qing3 v  to apply for 13
有趣,you3qu4,adj," interesting, fun",13,"you3qu4 adj  interesting, fun 13"
进行,jin3xing2,v," to conduct, to carry out",13,"jin3xing2 v  to conduct, to carry out 13"
继续,ji4xu4,v," to go on, to continue",13,"ji4xu4 v  to go on, to continue 13"
部分,bu4fen,n, part,13,bu4fen n  part 13
普遍,pu3bian4,adj," universal, common",13,"pu3bian4 adj  universal, common 13"
十分,shi2fen1,adv," Very, extremely",13,"shi2fen1 adv  Very, extremely 13"
随着,sui2zhe,prep," Along with, as ",13,"sui2zhe prep  Along with, as  13"
错误,cuo4wu4,adj, wrong,13,cuo4wu4 adj  wrong 13
互联网,hu4lian2wang3,n, Internet,13,hu4lian2wang3 n  Internet 13
开心,kai1xin1,adj," happy, glad",13,"kai1xin1 adj  happy, glad 13"
指代,zhi3dai4,n, paper bag,13,zhi3dai4 n  paper bag 13
餐厅,can1ting1,n, restaurant,13,can1ting1 n  restaurant 13
大约,da4yue1,adv," Approximately, about",13,"da4yue1 adv  Approximately, about 13"
讨论,tao3lun4,v," to discuss, to talk over",13,"tao3lun4 v  to discuss, to talk over 13"
袋子,dai4zi,n," bag, sack",13,"dai4zi n  bag, sack 13"
由,you3,prep, By (somebody),13,you3 prep  By (somebody) 13
美丽,mei3li4,adj, beautiful,14,mei3li4 adj  beautiful 14
得以,de2yi4,adj," complacent, gloating",14,"de2yi4 adj  complacent, gloating 14"
目的,mu4di4,n," aim, purpose",14,"mu4di4 n  aim, purpose 14"
暖,nuan3,adj, warm,14,nuan3 adj  warm 14
塑料袋,su4liao4dai4,n, plastic bag,14,su4liao4dai4 n  plastic bag 14
于是,yu2shi4,conj," Hence, therefore",14,"yu2shi4 conj  Hence, therefore 14"
减少,jian3shao3,v," to reduce, to decrease",14,"jian3shao3 v  to reduce, to decrease 14"
拒绝,ju4jue2,v," to refuse, to reject",14,"ju4jue2 v  to refuse, to reject 14"
数量,shu4liang4,n," quantity, amount",14,"shu4liang4 n  quantity, amount 14"
温度,wen1du4,n, temperature,14,wen1du4 n  temperature 14
乘坐,cheng1zuo4,v," to take (a vehicle), to ride (in a vehicle)",14,"cheng1zuo4 v  to take (a vehicle), to ride (in a vehicle) 14"
停,ting2,v," to stop, to cease",14,"ting2 v  to stop, to cease 14"
垃圾桶,la1ji1tong3,n," dustbin, trash can",14,"la1ji1tong3 n  dustbin, trash can 14"
鼓励,gu3li4,v, to encourage,14,gu3li4 v  to encourage 14
丢,diu1,v," to throw, to cast, to have lost",14,"diu1 v  to throw, to cast, to have lost 14"
既然,ji4ran2,conj," Since, as now that",14,"ji4ran2 conj  Since, as now that 14"
速度,su4du4,n, speed,14,su4du4 n  speed 14
地球,di4qiu2,n," earth, globe",14,"di4qiu2 n  earth, globe 14"
出差,chu1chai1,v, to go on a business trip,14,chu1chai1 v  to go on a business trip 14
毛巾,mao2jin1,n, towerl,14,mao2jin1 n  towerl 14
牙膏,ya2gao1,n, toothpaste,14,ya2gao1 n  toothpaste 14
重,zhong4,adj," heavy, weighty",14,"zhong4 adj  heavy, weighty 14"
行,xing2,v," to be OK, o be all right",14,"xing2 v  to be OK, o be all right 14"
省,sheng4,v," to save, to economize",14,"sheng4 v  to save, to economize 14"
脏,zang1,adj, dirty,14,zang1 adj  dirty 14
卫生间,wei4sheng1jian1,n," restroom, bathroom",14,"wei4sheng1jian1 n  restroom, bathroom 14"
抱歉,bao4qian4,v, to be sorry,14,bao4qian4 v  to be sorry 14
空,kong1,adj, empty,14,kong1 adj  empty 14
盒子,he2zi,n," box, case",14,"he2zi n  box, case 14"
仍,reng1,"v, to throw away","v, to throw away",14,"reng1 v, to throw away v, to throw away 14"
以,yi3,prep," Via, by means of",14,"yi3 prep  Via, by means of 14"
污染,wu1ran3,v, to pollute,14,wu1ran3 v  to pollute 14
弄,nong4,v," to do, to make",15,"nong4 v  to do, to make 15"
批评,pi1ping2,v, to criticize,15,pi1ping2 v  to criticize 15
厕所,ce4suo3,n," lavatory, toiilet",15,"ce4suo3 n  lavatory, toiilet 15"
赶,gan3,v," to rush for, to hurry",15,"gan3 v  to rush for, to hurry 15"
醒,xing3,v," to wake up, to be awake",15,"xing3 v  to wake up, to be awake 15"
寒假,han2jia4,n, winter vacation,15,han2jia4 n  winter vacation 15
闹钟,nao4zhong1,n, alarm clock,15,nao4zhong1 n  alarm clock 15
父亲,fu4qin1,n, father,15,fu4qin1 n  father 15
孙子,sun1zi,n, grandson,15,sun1zi n  grandson 15
棒,bang4,adj," excellent, amazing",15,"bang4 adj  excellent, amazing 15"
弹钢琴,tan2gang1qin2,to play the piano,to play the piano,15,tan2gang1qin2 to play the piano to play the piano 15
响,xiang3,v," to sound, to ring",15,"xiang3 v  to sound, to ring 15"
管理,guan3li3,v," to manage, to administer",15,"guan3li3 v  to manage, to administer 15"
打针,da3zhen1,v, to give or have an injection,15,da3zhen1 v  to give or have an injection 15
表扬,biao4yang2,v," to praise, to commend",15,"biao4yang2 v  to praise, to commend 15"
护士,hu4shi,n, nurse,15,hu4shi n  nurse 15
骄傲,jiao1'ao4,adj," arrogant, conceited",15,"jiao1'ao4 adj  arrogant, conceited 15"
粗心,cu1xin1,adj," careless, thoughless",15,"cu1xin1 adj  careless, thoughless 15"
笨,ben4,adj," stupid, foolish",15,"ben4 adj  stupid, foolish 15"
懒,lan3,adj, lazy,15,lan3 adj  lazy 15
左右,zuo3you4,n," around, or so",15,"zuo3you4 n  around, or so 15"
假,jia3,adj," false, fake",15,"jia3 adj  false, fake 15"
害羞,hai4xiu1,v," to be shy, to be timid",15,"hai4xiu1 v  to be shy, to be timid 15"
骗,pian4,v," to cheat, to deceive",15,"pian4 v  to cheat, to deceive 15"
合适,he2shi4,adj," fit, suitable",15,"he2shi4 adj  fit, suitable 15"
整理,zheng3li3,v," to tidy up, to arrange",15,"zheng3li3 v  to tidy up, to arrange 15"
敲,qiao1,v," to knock, to beat, to strike",15,"qiao1 v  to knock, to beat, to strike 15"
故意,gu4yi4,adv," Intentionally, on purpose",15,"gu4yi4 adv  Intentionally, on purpose 15"
怀疑,huai2yi2,v," to suspect, to doubt",15,"huai2yi2 v  to suspect, to doubt 15"
儿童,er2tong2,n, children,15,er2tong2 n  children 15
千万,qian1wan4,adv," Must, to be sure to",15,"qian1wan4 adv  Must, to be sure to 15"
礼貌,li3mao4,n, polite,16,li3mao4 n  polite 16
原谅,yuan2liang4,v, to forgive,16,yuan2liang4 v  to forgive 16
挂,gua4,v," to hand, to put up",16,"gua4 v  to hand, to put up 16"
同情,tong2qing2,v, to show sympathy for,16,tong2qing2 v  to show sympathy for 16
推,tui1,v," to put off, to postpone, to push",16,"tui1 v  to put off, to postpone, to push 16"
预习,yu4xi2,v, to prepare lessons before class,16,yu4xi2 v  to prepare lessons before class 16
冷静,leng3jing4,adj," calm, composed",16,"leng3jing4 adj  calm, composed 16"
自信,zi4xin4,adj, self-confident,16,zi4xin4 adj  self-confident 16
输,shu1,v," to lose, to suffer defeat",16,"shu1 v  to lose, to suffer defeat 16"
重视,zhong4shi4,v, to attach importante to,16,zhong4shi4 v  to attach importante to 16
尊重,zun1zhong4,v, to respect,16,zun1zhong4 v  to respect 16
导游,dao3you2,n, tour guide,16,dao3you2 n  tour guide 16
马虎,ma3hu,adj," careless, slipshod",16,"ma3hu adj  careless, slipshod 16"
呀,ya,used at the end of a question to soften the tone,used at the end of a question to soften the tone,16,ya used at the end of a question to soften the tone used at the end of a question to soften the tone 16
重点,zhong4dian3,n," focal point, emphasis",16,"zhong4dian3 n  focal point, emphasis 16"
郊区,jiao1qu1,n," suburd, outskirts",16,"jiao1qu1 n  suburd, outskirts 16"
到底,dao4di3,adv, (used in questions for emphasis) … on earth,16,dao4di3 adv  (used in questions for emphasis) … on earth 16
博士,bo2shi4,n, doctor PhD,16,bo2shi4 n  doctor PhD 16
签证,qian1zheng4,n, visa,16,qian1zheng4 n  visa 16
报名,bao4ming2,v," to apply, to sign up",16,"bao4ming2 v  to apply, to sign up 16"
表格,biao3ge2,n," form, table",16,"biao3ge2 n  form, table 16"
传真,chuan2zhen1,v, to send by fax,16,chuan2zhen1 v  to send by fax 16
号码,hao4ma3,n, number,16,hao4ma3 n  number 16
敢,gan3,v, to dare,16,gan3 v  to dare 16
激动,ji1dong4,adj," excited, emotional",16,"ji1dong4 adj  excited, emotional 16"
小伙子,xiao3huo3zi,n, young man,16,xiao3huo3zi n  young man 16
记者,ji4zhe3,n," journalist, reporter",16,"ji4zhe3 n  journalist, reporter 16"
代表,daibiao3,v," to represent, to stand for",16,"daibiao3 v  to represent, to stand for 16"
恐怕,kong3pa4,adv, (indicating an estimation) I guess…,16,kong3pa4 adv  (indicating an estimation) I guess… 16
参观,can1guan1,v," to visit, to look around",16,"can1guan1 v  to visit, to look around 16"
失望,shi1wang4,v, disappointed,16,shi1wang4 v  disappointed 16
森林,sen1lin2,n,forest,17,sen1lin2 n forest 17
剩,sheng4,v,"to be left over, to remina",17,"sheng4 v to be left over, to remina 17"
暖和,nuan3huo,adj,warm,17,nuan3huo adj warm 17
海洋,hai3yang2,n,"sea, ocean",17,"hai3yang2 n sea, ocean 17"
底,di3,n,"bottom, base",17,"di3 n bottom, base 17"
公里,gong1li3,m,kilometer,17,gong1li3 m kilometer 17
竞争,jing4zheng1,v,to compete,17,jing4zheng1 v to compete 17
仍然,reng2ran2,adv,"still, yet",17,"reng2ran2 adv still, yet 17"
排列,pai2lie4,v,"to put in order, to arrange",17,"pai2lie4 v to put in order, to arrange 17"
梦,meng4,n,dream,17,meng4 n dream 17
亚洲,ya4zhou1,n,Asia,17,ya4zhou1 n Asia 17
长城,chang2cheng2,n,the Great Wall of China,17,chang2cheng2 n the Great Wall of China 17
美人鱼,mei3ren2yu2,n,mermaid,17,mei3ren2yu2 n mermaid 17
社会,she4hui4,n,society,17,she4hui4 n society 17
老虎,lao3hu3,n,tiger,17,lao3hu3 n tiger 17
排队,pai2dui4,v,"to form a line, to line up",17,"pai2dui4 v to form a line, to line up 17"
入口,ru4kou3,n,entrance,17,ru4kou3 n entrance 17
放暑假,fang4shu3jia4,exp,to be on summer vacation,17,fang4shu3jia4 exp to be on summer vacation 17
趟,tang4,m,used for a round trip - time,17,tang4 m used for a round trip - time 17
难受,nan2shou4,adj,"sad, unhappy",17,"nan2shou4 adj sad, unhappy 17"
干,gan4,v,"to do, to act",17,"gan4 v to do, to act 17"
报,bao4,v,"to hold in the arms, to hug",17,"bao4 v to hold in the arms, to hug 17"
毛,mao2,n,"hair, fur",17,"mao2 n hair, fur 17"
倒,dao4,adv,"yet, actually",17,"dao4 adv yet, actually 17"
照,zhao4,v,"to take a picture, to photograph",17,"zhao4 v to take a picture, to photograph 17"
广播,guang3bo1,n,"broadcast, radio program",17,"guang3bo1 n broadcast, radio program 17"
云,yun4,n,cloud,17,yun4 n cloud 17
热闹,re4nao,adj,busy,17,re4nao adj busy 17
凉快,liang2kuai,adj,pleasantly cool,17,liang2kuai adj pleasantly cool 17
活泼,huo2po1,adj,"lively, vivacious",17,"huo2po1 adj lively, vivacious 17"
严格,yan2ge2,adj,"strict, rigorous",17,"yan2ge2 adj strict, rigorous 17"
是否,shi4fou3,adj,"if, whether",18,"shi4fou3 adj if, whether 18"
信息,xin4xi1,n,"news, information",18,"xin4xi1 n news, information 18"
作者,zuo4zhe3,n,author,18,zuo4zhe3 n author 18
火,huo3,adj,"hot, popular",18,"huo3 adj hot, popular 18"
降落,jiang4luo4,v,"to descend, to land",18,"jiang4luo4 v to descend, to land 18"
交通,jiao1tong1,n,"traffic, communication",18,"jiao1tong1 n traffic, communication 18"
网站,wang3zhan4,n,website,18,wang3zhan4 n website 18
信封,xin4feng1,n,enveloppe,18,xin4feng1 n enveloppe 18
技术,ji4shu4,n,skill,18,ji4shu4 n skill 18
邮局,you2ju2,n,post office,18,you2ju2 n post office 18
世纪,shi4ji4,n,century,18,shi4ji4 n century 18
地点,di4dian3,n,"place, site",18,"di4dian3 n place, site 18"
地址,di4zhi3,n,address,18,di4zhi3 n address 18
迷路,mi2lu4,v,to lose one's way,18,mi2lu4 v to lose one's way 18
举,ju3,v,"to give, to enumerate",18,"ju3 v to give, to enumerate 18"
付款,fu4kuan3,v,to pay a sum of money,18,fu4kuan3 v to pay a sum of money 18
收,shou1,v,to receive,18,shou1 v to receive 18
咸,xian2,adj,salty,18,xian2 adj salty 18
秒,miao3,m,a second,18,miao3 m a second 18
矿泉水,kuang4quan2shui3,n,mineral water,18,kuang4quan2shui3 n mineral water 18
受不了,shou4buliao3,exp,"cannot stand, cannot bear",18,"shou4buliao3 exp cannot stand, cannot bear 18"
日记,ri4ji4,n,"diary, journal",18,"ri4ji4 n diary, journal 18"
安全,an1quan2,adj,"safe, secure",18,"an1quan2 adj safe, secure 18"
密码,mi4ma3,n,password,18,mi4ma3 n password 18
方式,fang1shi4,n,"way, mode",18,"fang1shi4 n way, mode 18"
座,zuo4,m,"used for bridges, mountains, buildings",18,"zuo4 m used for bridges, mountains, buildings 18"
桥,qiao2,n,bridge,18,qiao2 n bridge 18
危险,wei1xian3,adj,dangerous,18,wei1xian3 adj dangerous 18
接着,jie1zhe,adv,"then, immediately after that",18,"jie1zhe adv then, immediately after that 18"
警察,jing3cha2,n,police,18,jing3cha2 n police 18
抓,zhua1,v,"to cach, to arrest",18,"zhua1 v to cach, to arrest 18"
允许,yun3xu3,v,"to allow, to permit",18,"yun3xu3 v to allow, to permit 18"
眼镜,yan3jing4,n,"glasses, spectacles",19,"yan3jing4 n glasses, spectacles 19"
戴,dai4,v,to wear,19,dai4 v to wear 19
打招呼,da3zhao1hu,exp,"to greet, to sya hello",19,"da3zhao1hu exp to greet, to sya hello 19"
零钱,ling2qian2,n,small change,19,ling2qian2 n small change 19
包子,bao1zi,n,steamed stuffed bun,19,bao1zi n steamed stuffed bun 19
理发,li3fa4,v,to get a haircut,19,li3fa4 v to get a haircut 19
脱,tuo1,v,to take off,19,tuo1 v to take off 19
复印,fu4yin4,v,to photocopy,19,fu4yin4 v to photocopy 19
到,dao1,n,knife,19,dao1 n knife 19
饺子,jiao3zi,n,jiao3zi,19,jiao3zi n jiao3zi 19
打印,da3yin4,v,to print out,19,da3yin4 v to print out 19
道歉,dao4qian4,v,to apologize,19,dao4qian4 v to apologize 19
性别,xing4bie2,n,"sex, gender",19,"xing4bie2 n sex, gender 19"
出生,chu1sheng1,v,to be born,19,chu1sheng1 v to be born 19
学期,xue2qi1,n,"term, semester",19,"xue2qi1 n term, semester 19"
破,po4,adj,"broken, torn",19,"po4 adj broken, torn 19"
舞蹈,wu3dao3,n,dance,19,wu3dao3 n dance 19
抬,tai2,v,"to lift, to raise",19,"tai2 v to lift, to raise 19"
胳膊,ge1bo,n,arm,19,ge1bo n arm 19
座位,zuo4wei4,n,seat,19,zuo4wei4 n seat 19
禁止,jin4zhi3,v,"to prohibit, to forbid",19,"jin4zhi3 v to prohibit, to forbid 19"
场,chang3,m,"used for sports or recreational events, etc",19,"chang3 m used for sports or recreational events, etc 19"
国籍,guo2ji2,n,"nationality, citizenship",19,"guo2ji2 n nationality, citizenship 19"
乒乓球,ping1pang1qiu2,n,table tennis,19,ping1pang1qiu2 n table tennis 19
功夫,gong1fu,n,kung fu,19,gong1fu n kung fu 19
羽毛球,yu2mao2qiu2,n,badminton,19,yu2mao2qiu2 n badminton 19
房东,fang2dong1,n,"landlord, landlady",19,"fang2dong1 n landlord, landlady 19"
厨房,chu2fang2,n,kitchen,19,chu2fang2 n kitchen 19
吵,chao3,adj,noisy,19,chao3 adj noisy 19
租,zu1,v,"to rent, to lease",19,"zu1 v to rent, to lease 19"
转,zhuan3,v,"to turn, to shift",19,"zhuan3 v to turn, to shift 19"
战线,zhan4xian4,v,"(of a telephone line) to be busy, to be engaged",19,"zhan4xian4 v (of a telephone line) to be busy, to be engaged 19"
存,cun2,v,"to store, to keep",20,"cun2 v to store, to keep 20"
钥匙,yao4shi,n,"key, door key",20,"yao4shi n key, door key 20"
究竟,jiu1jing4,adv,(used in questions for emphasis) exactly,20,jiu1jing4 adv (used in questions for emphasis) exactly 20
棵,ke1,m,used for plants: 一棵树,20,ke1 m used for plants: 一棵树 20
汤,tang1,n,soup,20,tang1 n soup 20
香,xiang1,adj,"fragrant, scented",20,"xiang1 adj fragrant, scented 20"
普通话,pu3tong1hua4,n,Mandarin Chinese,20,pu3tong1hua4 n Mandarin Chinese 20
小吃,xiao3chi1,n,small and cheap dishes,20,xiao3chi1 n small and cheap dishes 20
收拾,shou1shi,v,"to put in order, to pack",20,"shou1shi v to put in order, to pack 20"
出发,chu1fa1,v,"to depart, to set off",20,"chu1fa1 v to depart, to set off 20"
辣,la4,adj,"spicy, hot",20,"la4 adj spicy, hot 20"
笑话,xiao4hua,n,joke,20,xiao4hua n joke 20
对话,dui4hua4,v,to have a dialogue,20,dui4hua4 v to have a dialogue 20
打扮,da3ban,v,"to dress up, to deck out",20,"da3ban v to dress up, to deck out 20"
可怜,ke3lian2,adj,"pitiable, poor",20,"ke3lian2 adj pitiable, poor 20"
干杯,gan1bei1,v,to drink a toast,20,gan1bei1 v to drink a toast 20
合格,he2ge2,adj,"qualified, up to standard",20,"he2ge2 adj qualified, up to standard 20"
祝贺,zhu4he4,v,to congratulate,20,zhu4he4 v to congratulate 20
烤鸭,kao3ya1,n,roast duck,20,kao3ya1 n roast duck 20
对面,dui4mian4,n,"across, in front, opposite",20,"dui4mian4 n across, in front, opposite 20"
怪,guai4,adv,"rather, quite",20,"guai4 adv rather, quite 20"
旅行,lv3xing2,v,"to travel, to tour",20,"lv3xing2 v to travel, to tour 20"
首都,shou3du1,n,capital,20,shou3du1 n capital 20
订机票,deng1ji1pai2,n,boarding pass,20,deng1ji1pai2 n boarding pass 20
高速公路,gao1su4gong1lu4,n,"express way, highway",20,"gao1su4gong1lu4 n express way, highway 20"
推迟,tui1chi2,v,"to postpone, to delay",20,"tui1chi2 v to postpone, to delay 20"
航班,hang2ban1,n,scheduled flight,20,hang2ban1 n scheduled flight 20
加油站,jia1you2zhan4,n,gas station,20,jia1you2zhan4 n gas station 20
民族,min2zu2,n,ethnic group,20,min2zu2 n ethnic group 20
酸,suan1,adj,"sour, tart",20,"suan1 adj sour, tart 20"
